timestamp,url,threat_score,verdict,vt_detections,hybrid_score
2024-12-16T18:47:58.833786,https://waidiem.my,2024-12-16T18:47:58.833786,0,unknown,0,0
2024-12-16T18:52:50.244956,https://waidiem.my,2024-12-16T18:52:50.244956,0,unknown,0,0
2024-12-16T18:53:55.707495,https://waidiem.my,2024-12-16T18:53:55.707495,0,unknown,0,0
2024-12-16T19:01:23.143460,https://waidiem.my,2024-12-16T19:01:23.143460,0,unknown,0,0
2024-12-16T19:01:49.345069,https://waidiem.my,2024-12-16T19:01:49.345069,0,unknown,0,0
2024-12-16T19:03:29.862852,https://waidiem.my,2024-12-16T19:03:29.862852,0,unknown,0,0
2024-12-16T19:06:02.328659,https://waidiem.my,2024-12-16T19:06:02.328659,0,unknown,0,0
2024-12-16T19:06:59.938527,https://waidiem.my,2024-12-16T19:06:59.938527,0,unknown,0,0
2024-12-16T19:11:57.468103,https://waidiem.my,2024-12-16T19:11:57.468103,0,unknown,0,0
2024-12-16T19:13:44.439903,https://google.com,2024-12-16T19:13:44.439903,0,unknown,0,0
2024-12-16T19:21:16.709752,https://waidiem.my,2024-12-16T19:21:16.709752,0,unknown,0,0
2024-12-16T19:23:07.177594,https://waidiem.my,2024-12-16T19:23:07.177594,0,unknown,0,0
2024-12-16T19:23:14.520908,https://waidiem.my,2024-12-16T19:23:14.520908,0,unknown,0,0
2024-12-16T19:26:21.762690,https://waidiem.my,2024-12-16T19:26:21.762690,0,unknown,0,0
2024-12-16T19:26:47.194497,https://waidiem.my,2024-12-16T19:26:47.194497,0,unknown,0,0
2024-12-16T19:29:51.825498,https://waidiem.my,2024-12-16T19:29:51.825498,0,unknown,0,0
2024-12-16T19:33:21.547985,https://waidiem.my,2024-12-16T19:33:21.547985,0,unknown,0,0
2024-12-16T19:33:40.775866,https://waidiem.my,2024-12-16T19:33:40.775866,0,unknown,0,0
2024-12-16T19:38:27.211072,https://waideim.my,2024-12-16T19:38:27.211072,0,unknown,0,0
2024-12-16T19:42:45.682215,https://waidiem.my,2024-12-16T19:42:45.682215,0,unknown,0,0
2024-12-16T19:42:54.756084,https://waidiem.my,2024-12-16T19:42:54.756084,0,unknown,0,0
2024-12-16T20:06:04.263950,https://waidiem.my,2024-12-16T20:06:04.263950,0,unknown,0,0
2024-12-16T20:33:06.416368,https://waidiem.my,2024-12-16T20:33:06.416368,0,unknown,0,0
2024-12-16T20:33:17.512135,https://waidiem.my,2024-12-16T20:33:17.512135,0,unknown,0,0
2024-12-16T20:33:56.480269,https://waidiem.my,2024-12-16T20:33:56.480269,0,unknown,0,0
2024-12-16T20:33:58.821884,https://waidiem.my,2024-12-16T20:33:58.821884,0,unknown,0,0
